X,Y,FID,foottraffic
-9519909.2692518,3840834.51609095,1879,160
-9519909.2692518,3840834.51609095,1880,160
-9512992.98928882,3651017.02058813,1881,74
-9512992.98928882,3651017.02058813,1882,74
-9546271.95106147,3980158.17323069,1883,147
-9547861.59339,4000186.1657671,1884,105
-9547861.59339,4000186.1657671,1885,105
-9547861.59339,4000186.1657671,1886,105
-9526085.27460101,3979881.40345454,1887,123
-9526085.27460101,3979881.40345454,1888,123
-9551489.49559495,3976805.29447037,1889,67
-9646678.79217228,3888443.66198124,1890,97
-9560981.70857489,3981945.9721196,1891,110
-9571159.64961812,4008781.64122984,1892,94
-9545611.82648106,3973183.46363185,1893,32
-9546013.68984283,3973623.10122836,1894,32
-9599648.53370193,3833740.43573643,1895,103
-9556191.63088606,3992096.36069641,1896,42
-9556999.81038921,3989645.9077158,1897,109
-9557740.08500299,4063670.35668074,1898,141
-9593363.43525174,3959587.02314139,1899,113
-9633179.07752378,3987767.26868489,1900,119
-9743240.65807109,3927974.10357201,1901,234
-9750293.86100775,3935190.65022575,1902,138
-9750293.86100775,3935190.65022575,1903,138
-9750293.86100775,3935190.65022575,1904,138
-9750293.86100775,3935190.65022575,1905,138
-9750293.86100775,3935190.65022575,1906,138
-9750293.86100775,3935190.65022575,1907,138
-9750293.86100775,3935190.65022575,1908,138
-9750293.86100775,3935190.65022575,1909,138
-9555865.46477803,3988917.96555945,1910,70
-9637737.61067176,4027769.49375155,1911,97
-9573782.33682121,4003677.1745905,1912,93
-9556789.41655162,3991123.34384317,1913,110
-9550477.60142364,3995469.76709287,1914,86
-9550477.60142364,3995469.76709287,1915,86
-9557299.25981945,3990944.00722725,1916,224
-9542133.09239377,3982109.12092135,1917,84
-9808677.59434409,3606184.31717009,1918,133
-9553214.94770224,3991867.48687146,1919,36
-9553214.94770224,3991867.48687146,1920,36
-9569365.17942653,3976233.21007323,1921,103
-9551781.15266083,4015885.31319605,1922,215
-9608664.29926128,4075498.10383557,1923,158
-9538927.09105893,4015574.15025459,1924,125
-9545157.64295863,3974896.67497177,1925,105
-9545157.64295863,3974896.67497177,1926,105
-9568727.31874429,4008618.11293748,1927,87
-9546686.05956722,4002417.82397905,1928,139
-9533986.73205752,4025097.96458302,1929,102
-9527688.27526844,4016916.77160647,1930,103
-9656985.86382482,3906870.74647336,1931,49
-9656985.86382482,3906870.74647336,1932,49
-9550252.73605224,3989833.25323035,1933,140
-9550252.73605224,3989833.25323035,1934,140
-9516899.19022075,4026958.57155005,1935,87
-9543437.75682587,4010990.8424843,1936,85
-9543437.75682587,4010990.8424843,1937,85
-9553582.30202186,4013110.62875691,1938,87
-9557190.16671847,4018692.8686722,1939,88
-9559085.93764668,3992234.22256932,1940,233
-9559085.93764668,3992234.22256932,1941,233
-9559085.93764668,3992234.22256932,1942,233
-9664174.87654026,3934978.88329828,1943,108
-9562733.87735998,4000317.42775832,1944,114
-9560003.21025082,4027572.12823991,1945,80
-9570676.52302808,3998797.29163086,1946,92
