X,Y,OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date
526347.364360079,670921.344249405,89,317734,2021/01/04 17:14:00+00,Code Enforcement,Parking On Front Lawn,3249 FERNWAY DR,5,Closed,2021/01/05 19:22:00+00,Call Center,32.3437381,-86.2536742,2021,{8BEE85FC-D216-4C1D-8617-F0EF780833EB},,,,
526292.527199414,670995.887079321,90,317735,2021/01/04 17:17:00+00,Code Enforcement,Nuisance,3243 FERNWAY DR,5,Closed,2021/01/05 19:22:00+00,Call Center,32.3439424,-86.2538527,2021,{C188CFCC-5B8C-448A-95D0-F3C829652DD9},,,,
526292.527199414,670995.887079321,91,317736,2021/01/04 17:18:00+00,Planning Department,Business in Residential District,3243 FERNWAY DR,5,Closed,2021/01/04 19:15:00+00,Call Center,32.3439424,-86.2538527,2021,{A49E680C-FE31-491A-A9AA-1AB0242B5B07},,,,
,,92,317737,2021/01/04 17:19:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 17:19:00+00,Call Center,0,0,2021,{B9B644A2-3BC2-413D-B04A-FD87D2A19564},,,,
,,93,317738,2021/01/04 17:19:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 17:19:00+00,Call Center,0,0,2021,{056C4BC1-C204-462D-B3F9-6A66A6DF87FA},,,,
528469.046796497,688780.48011899,94,317739,2021/01/04 17:23:00+00,Street Maintenance,Pothole Repairing,3740 DALRAIDA PKWY,2,Closed,2021/01/06 21:33:00+00,Call Center,32.392849,-86.2470281,2021,{FC2E7517-0320-4936-B772-F91FB5203C21},,,,
,,95,317740,2021/01/04 17:24:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 17:24:00+00,Call Center,0,0,2021,{5821FCFD-BCE6-4228-BE9D-206239C38989},,,,
,,96,317741,2021/01/04 17:25:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 17:27:00+00,Call Center,0,0,2021,{D5AAE3B0-34AF-4E6C-A9F3-FAB91B0D5F1D},,,,
541438.495923162,672596.073183402,97,317742,2021/01/04 17:32:00+00,Traffic Engineering,Install New Signs,1836 WOODMERE LOOP,9,Closed,2021/01/13 14:19:00+00,Call Center,32.3484947,-86.2048305,2021,{FAF6A1EA-8722-4790-AD9E-00326A9B8854},,,,
,,98,317743,2021/01/04 17:37:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 17:37:00+00,Call Center,0,0,2021,{1F8D2CD4-9CC2-45AB-AC00-514574440670},,,,
,,99,317744,2021/01/04 17:38:00+00,FAQ,FAQ-Municipal Court,,,Closed,2021/01/04 17:38:00+00,Call Center,0,0,2021,{7E15B985-9CFA-43A9-8AD1-25E2C3563904},,,,
513800.170622494,684099.606278658,100,317745,2021/01/04 17:43:00+00,Building Maintenance,COM HVAC/Refrigeration,1018 MADISON AVE,3,Closed,2021/01/04 17:50:00+00,Call Center,32.3798182,-86.2944834,2021,{7C9C6731-E8A5-451A-A56F-323464513B34},,,,
,,101,317746,2021/01/04 17:47:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 17:47:00+00,Call Center,0,0,2021,{6B95D854-7322-46BF-AC73-9A7B76FAEFB0},,,,
,,102,317747,2021/01/04 17:53:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 17:53:00+00,Call Center,0,0,2021,{8EF4C636-5EF8-4A40-B2BB-D542F9F213BC},,,,
